Overriding config with config/exp3_heads.py:
# Experiment 3 - Attention head sweep
# Vary: n_head ∈ {4, 8, 16, 32}
# Fixed: n_layer = 6, n_embd = 256, dropout = 0.0

out_dir = 'out-exp3-heads'
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp3-heads'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6
n_head = 8  # overridden via command line
n_embd = 256
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp3-head32
Overriding: n_head = 32
Overriding: wandb_run_name = exp3-head32
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 4.78M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 26, with 4,842,496 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: False
step 0: train loss 5.4058, val loss 5.4059
iter 0: loss 5.4064, time 90194.26ms, mfu -100.00%
iter 10: loss 4.0943, time 645.46ms, mfu 0.27%
iter 20: loss 3.4588, time 639.18ms, mfu 0.27%
iter 30: loss 2.9133, time 638.60ms, mfu 0.27%
iter 40: loss 2.5893, time 637.69ms, mfu 0.27%
iter 50: loss 2.4084, time 649.91ms, mfu 0.27%
iter 60: loss 2.3549, time 641.01ms, mfu 0.27%
iter 70: loss 2.3445, time 639.56ms, mfu 0.27%
iter 80: loss 2.2884, time 636.33ms, mfu 0.27%
iter 90: loss 2.3004, time 645.40ms, mfu 0.27%
iter 100: loss 2.2880, time 643.65ms, mfu 0.27%
iter 110: loss 2.2385, time 635.64ms, mfu 0.27%
iter 120: loss 2.1966, time 644.68ms, mfu 0.27%
iter 130: loss 2.1906, time 655.00ms, mfu 0.27%
iter 140: loss 2.1566, time 671.33ms, mfu 0.27%
iter 150: loss 2.1204, time 606.26ms, mfu 0.27%
iter 160: loss 2.0952, time 605.57ms, mfu 0.27%
iter 170: loss 2.0344, time 602.28ms, mfu 0.28%
iter 180: loss 2.0032, time 597.38ms, mfu 0.28%
iter 190: loss 1.9873, time 600.62ms, mfu 0.28%
iter 200: loss 1.9184, time 602.51ms, mfu 0.28%
iter 210: loss 1.9020, time 600.55ms, mfu 0.28%
iter 220: loss 1.8665, time 609.01ms, mfu 0.28%
iter 230: loss 1.7930, time 598.10ms, mfu 0.28%
iter 240: loss 1.7546, time 634.61ms, mfu 0.28%
step 250: train loss 1.7152, val loss 1.7116
saving checkpoint to out-exp3-head32
iter 250: loss 1.7119, time 89312.91ms, mfu 0.25%
iter 260: loss 1.6671, time 608.32ms, mfu 0.26%
iter 270: loss 1.6089, time 617.26ms, mfu 0.26%
iter 280: loss 1.5440, time 610.72ms, mfu 0.26%
iter 290: loss 1.5625, time 602.55ms, mfu 0.27%
iter 300: loss 1.5348, time 602.25ms, mfu 0.27%
iter 310: loss 1.4827, time 606.26ms, mfu 0.27%
iter 320: loss 1.3978, time 599.35ms, mfu 0.27%
