Overriding config with config/exp3_heads.py:
# Experiment 3 - Attention head sweep
# Vary: n_head ∈ {4, 8, 16, 32}
# Fixed: n_layer = 6, n_embd = 256, dropout = 0.0

out_dir = 'out-exp3-heads'
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp3-heads'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6
n_head = 8  # overridden via command line
n_embd = 256
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp3-head8
Overriding: n_head = 8
Overriding: wandb_run_name = exp3-head8
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 4.78M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 26, with 4,842,496 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: False
step 0: train loss 5.4047, val loss 5.4048
iter 0: loss 5.4054, time 34547.65ms, mfu -100.00%
iter 10: loss 4.0942, time 241.01ms, mfu 0.73%
iter 20: loss 3.4586, time 240.42ms, mfu 0.73%
iter 30: loss 2.9136, time 244.22ms, mfu 0.73%
iter 40: loss 2.5987, time 242.48ms, mfu 0.73%
iter 50: loss 2.4076, time 244.76ms, mfu 0.73%
iter 60: loss 2.3532, time 238.81ms, mfu 0.73%
iter 70: loss 2.3503, time 241.37ms, mfu 0.73%
iter 80: loss 2.2810, time 241.96ms, mfu 0.73%
iter 90: loss 2.3206, time 240.06ms, mfu 0.73%
iter 100: loss 2.2949, time 240.59ms, mfu 0.73%
iter 110: loss 2.2537, time 237.04ms, mfu 0.73%
iter 120: loss 2.1990, time 240.84ms, mfu 0.73%
iter 130: loss 2.2269, time 238.74ms, mfu 0.73%
iter 140: loss 2.1686, time 239.06ms, mfu 0.73%
iter 150: loss 2.1647, time 242.17ms, mfu 0.73%
iter 160: loss 2.1219, time 237.34ms, mfu 0.73%
iter 170: loss 2.0545, time 234.89ms, mfu 0.73%
iter 180: loss 1.9968, time 240.68ms, mfu 0.73%
iter 190: loss 1.9738, time 239.05ms, mfu 0.73%
iter 200: loss 1.9286, time 243.79ms, mfu 0.73%
iter 210: loss 1.8950, time 238.32ms, mfu 0.73%
iter 220: loss 1.8716, time 240.84ms, mfu 0.73%
iter 230: loss 1.8090, time 238.37ms, mfu 0.73%
iter 240: loss 1.7763, time 239.25ms, mfu 0.73%
step 250: train loss 1.7136, val loss 1.7103
saving checkpoint to out-exp3-head8
iter 250: loss 1.7089, time 34176.99ms, mfu 0.66%
iter 260: loss 1.6767, time 238.56ms, mfu 0.67%
iter 270: loss 1.6358, time 241.78ms, mfu 0.67%
iter 280: loss 1.5842, time 244.30ms, mfu 0.68%
iter 290: loss 1.6029, time 240.20ms, mfu 0.68%
iter 300: loss 1.5586, time 242.58ms, mfu 0.69%
iter 310: loss 1.5165, time 238.51ms, mfu 0.69%
iter 320: loss 1.4321, time 241.70ms, mfu 0.69%
iter 330: loss 1.4332, time 241.97ms, mfu 0.70%
iter 340: loss 1.3971, time 240.29ms, mfu 0.70%
iter 350: loss 1.3978, time 242.11ms, mfu 0.70%
iter 360: loss 1.3108, time 239.14ms, mfu 0.71%
iter 370: loss 1.3468, time 243.91ms, mfu 0.71%
iter 380: loss 1.3107, time 241.78ms, mfu 0.71%
iter 390: loss 1.2610, time 241.07ms, mfu 0.71%
iter 400: loss 1.2822, time 246.19ms, mfu 0.71%
iter 410: loss 1.2488, time 241.06ms, mfu 0.71%
iter 420: loss 1.2563, time 244.21ms, mfu 0.71%
iter 430: loss 1.1864, time 241.04ms, mfu 0.71%
iter 440: loss 1.1712, time 243.53ms, mfu 0.72%
iter 450: loss 1.2166, time 240.68ms, mfu 0.72%
iter 460: loss 1.1970, time 241.99ms, mfu 0.72%
iter 470: loss 1.1786, time 244.93ms, mfu 0.72%
iter 480: loss 1.1565, time 242.99ms, mfu 0.72%
iter 490: loss 1.1304, time 244.67ms, mfu 0.72%
step 500: train loss 1.1250, val loss 1.1260
saving checkpoint to out-exp3-head8
iter 500: loss 1.1536, time 34583.28ms, mfu 0.65%
iter 510: loss 1.1175, time 248.45ms, mfu 0.65%
iter 520: loss 1.0749, time 244.28ms, mfu 0.66%
iter 530: loss 1.0810, time 244.60ms, mfu 0.66%
iter 540: loss 1.0992, time 244.39ms, mfu 0.67%
iter 550: loss 1.0699, time 245.54ms, mfu 0.67%
iter 560: loss 1.0562, time 243.14ms, mfu 0.68%
iter 570: loss 1.0265, time 245.47ms, mfu 0.68%
iter 580: loss 1.1000, time 243.52ms, mfu 0.69%
iter 590: loss 1.0472, time 244.92ms, mfu 0.69%
iter 600: loss 1.0325, time 249.22ms, mfu 0.69%
